id,lat,long,truck_num,date,weight
119959.563_482660.157-Rest,52.33076,4.873149,truck5,2021-12-30T06:55:13.000Z,150
119923.973_482613.214-Rest,52.330334,4.8726315,truck5,2021-12-30T06:58:42.000Z,175
119923.973_482613.214-Rest,52.330334,4.8726315,truck5,2021-12-30T07:00:04.000Z,100
119923.973_482613.214-Rest,52.330334,4.8726315,truck5,2021-12-30T07:01:25.000Z,165
120349.078_482617.510-Rest,52.330402,4.878867,truck5,2021-12-30T07:04:16.000Z,105
120196.550_482972.036-Rest,52.333576,4.876593,truck5,2021-12-30T07:10:08.000Z,270
120196.550_482972.036-Rest,52.333576,4.876593,truck5,2021-12-30T07:12:16.000Z,205
120196.550_482972.036-Rest,52.333576,4.876593,truck5,2021-12-30T07:13:14.000Z,200
120307.697_482972.014-Rest,52.333584,4.878224,truck5,2021-12-30T07:15:53.000Z,225
120307.697_482972.014-Rest,52.333584,4.878224,truck5,2021-12-30T07:16:52.000Z,175
120307.697_482972.014-Rest,52.333584,4.878224,truck5,2021-12-30T07:18:01.000Z,360
120454.961_482733.192-Rest,52.331448,4.880409,truck5,2021-12-30T07:22:45.000Z,100
120458.586_482831.533-Rest,52.332333,4.8804517,truck5,2021-12-30T07:26:41.000Z,50
120628.297_482658.634-Rest,52.330788,4.8829594,truck5,2021-12-30T07:31:39.000Z,65
120829.666_482657.773-Rest,52.33079,4.8859134,truck5,2021-12-30T07:34:44.000Z,10
120987.705_482777.385-Rest,52.33188,4.88822,truck5,2021-12-30T07:42:23.000Z,25
121026.269_482883.020-Rest,52.33283,4.888775,truck5,2021-12-30T07:45:28.000Z,60
120844.731_482761.248-Rest,52.331722,4.886124,truck5,2021-12-30T07:49:51.000Z,35
119445.812_482669.446-Rest,52.33081,4.865611,truck5,2021-12-30T07:58:24.000Z,300
119519.703_482669.667-Rest,52.33082,4.8666954,truck5,2021-12-30T08:02:00.000Z,130
119519.703_482669.667-Rest,52.33082,4.8666954,truck5,2021-12-30T08:03:53.000Z,185
119597.026_482668.892-Rest,52.330814,4.86783,truck5,2021-12-30T08:07:22.000Z,75
119597.026_482668.892-Rest,52.330814,4.86783,truck5,2021-12-30T08:08:33.000Z,50
119597.026_482668.892-Rest,52.330814,4.86783,truck5,2021-12-30T08:14:21.000Z,165
119597.026_482668.892-Rest,52.330814,4.86783,truck5,2021-12-30T08:16:10.000Z,205
121909.352_483806.050-Rest,52.34118,4.9016395,truck5,2021-12-30T08:31:54.000Z,60
121928.032_483921.708-Rest,52.34222,4.901902,truck5,2021-12-30T08:34:48.000Z,230
121940.703_483947.072-Rest,52.34245,4.902086,truck5,2021-12-30T08:37:53.000Z,135
121940.703_483947.072-Rest,52.34245,4.902086,truck5,2021-12-30T08:38:36.000Z,125
122009.315_483941.235-Rest,52.3424,4.903093,truck5,2021-12-30T08:41:51.000Z,5
122009.315_483941.235-Rest,52.3424,4.903093,truck5,2021-12-30T08:43:09.000Z,200
122001.930_483871.243-Rest,52.34177,4.9029913,truck5,2021-12-30T08:45:39.000Z,95
122001.930_483871.243-Rest,52.34177,4.9029913,truck5,2021-12-30T08:46:45.000Z,255
121995.528_483785.850-Rest,52.341003,4.902906,truck5,2021-12-30T08:49:45.000Z,155
121995.528_483785.850-Rest,52.341003,4.902906,truck5,2021-12-30T08:50:59.000Z,230
122051.766_483777.491-Rest,52.34093,4.903732,truck5,2021-12-30T08:54:03.000Z,365
122051.766_483777.491-Rest,52.34093,4.903732,truck5,2021-12-30T08:55:10.000Z,125
122065.754_483936.371-Rest,52.342358,4.9039216,truck5,2021-12-30T08:58:17.000Z,245
122065.754_483936.371-Rest,52.342358,4.9039216,truck5,2021-12-30T09:00:31.000Z,105
122216.053_483984.687-Rest,52.342804,4.906122,truck5,2021-12-30T09:03:43.000Z,255
122216.053_483984.687-Rest,52.342804,4.906122,truck5,2021-12-30T09:04:57.000Z,175
122216.053_483984.687-Rest,52.342804,4.906122,truck5,2021-12-30T09:06:57.000Z,155
